,Użytkownik,Spółka 1,Spółka 2,Spółka 3,Wynik spółka 1,Wynik spółka 2,Wynik spółka 3,Średnia
1,c0newa,XTB,ASBIS,DIGITAL NETWORK,5.94,84.2,204.86,98.33
2,dracena__,ORLEN,TAURON POLSKA ENERGIA,CD PROJECT,109.39,127.37,25,87.25
3,evenement,BUDIMEX,DIGITAL NETWORK,XTB,39.25,204.86,5.94,83.35
4,niedzielny_,INTEL,INTEL,INTEL,82.49,82.49,82.49,82.49
5,bóg estetyki,TAURON POLSKA ENERGIA,VALNEVA,ENEA,127.37,61.04,53.63,80.68
6,perlaeksport4ever,PALANTIR TECHNOLOGIES,TESLA,SOFI TECHNOLOGIES,136.4,18.57,85.28,80.08
7,jmatt7,PALANTIR TECHNOLOGIES,AMD,MICROSOFT,136.4,77.53,16.39,76.77
8,SkyLine9731,POWSZECHNY ZAKŁAD UBEZPIECZEŃ,POWSZECHNA KASA OSZCZĘDNOŚCI BANK POLSKI,ORLEN,55.17,54.11,109.39,72.89
9,Kacperossmurf,TESLA,AMD,ORLEN,18.57,77.53,109.39,68.5
10,WampeeR,KRUK,GIEŁDA PAPIERÓW WARTOŚCIOWYCH,ORLEN,23.41,70.65,109.39,67.82
11,HappyEmpty,SPOTIFY,NVIDIA,PALANTIR TECHNOLOGIES,26.85,34.88,136.4,66.04
12,Mishiker,AMAZON,INTEL,ORLEN,4.81,82.49,109.39,65.56
13,Crash,ORLEN,INTEL,11 BIT STUDIOS,109.39,82.49,-18.74,57.71
14,Zelun1,ORLEN,ALIBABA GROUP,JD.COM,109.39,75.46,-13.68,57.06
15,Farmer,CD PROJECT,Huuuge Inc.,ORLEN,25,33.82,109.39,56.07
16,Parden,MIRBUD,ORLEN,CD PROJECT,26.78,109.39,25,53.72
17,uki444,ORLEN,META,TAKE-TWO INTERACTIVE,109.39,10.41,39.85,53.22
18,CharlieSz,XTB,SYNEKTIK,ORLEN,5.94,39.94,109.39,51.76
19,delord,ORLEN,SYNEKTIK,XTB,109.39,39.94,5.94,51.76
20,Gigulon,MO-BRUK,BANK HANDLOWY W WARSZAWIE,ORLEN,1.5,33.84,109.39,48.24
21,berwester,ORLEN,CD PROJECT,XTB,109.39,25,5.94,46.78
22,mich4lex,XTB,AMD,SYNEKTIK,5.94,77.53,39.94,41.14
23,pantarhei9,ORLEN,SYNEKTIK,WITTCHEN,109.39,39.94,-27.11,40.74
24,M_LORD77,SYNEKTIK,BROADCOM,CD PROJECT,39.94,50.26,25,38.4
25,Piotja1,BROADCOM,TSMC,META,50.26,52.37,10.41,37.68
26,Hverr,INTEL,CD PROJECT,DINO POLSKA,82.49,25,3.09,36.86
27,kajak34,ELI LILLY AND COMPANY,ALPHABET,LVMH,39.15,65.78,3.95,36.29
28,xGRUL,ORLEN,ELEKTROTIM,11 BIT STUDIOS,109.39,16.93,-18.74,35.86
29,biguss,NVIDIA,NVIDIA,NVIDIA,34.88,34.88,34.88,34.88
30,dziqq,COMARCH,CD PROJECT,AMD,0,25,77.53,34.18
31,hyron_1,BUDIMEX,XTB,POWSZECHNY ZAKŁAD UBEZPIECZEŃ,39.25,5.94,55.17,33.45
32,ziaziav9,UBER,"TRANSMEDICS GROUP, INC.",FORTINET,29.35,82.93,-16.19,32.03
33,Jakoobo_,NVIDIA,TSMC,XTB,34.88,52.37,5.94,31.06
34,powerboniek,GRUPA KĘTY,CD PROJECT,KRUK,39.99,25,23.41,29.47
35,hahri__,TESLA,NVIDIA,CD PROJECT,18.57,34.88,25,26.15
36,Gandwey,XTB,KRUK,ASSECO SEE,5.94,23.41,44.64,24.66
37,Rtii,PLAYWAY,ALIBABA GROUP,MO-BRUK,-3.03,75.46,1.5,24.64
38,pawulon,PKP CARGO,AMBRA,ORLEN,-14.87,-23.7,109.39,23.61
39,Nervil,"TRANSMEDICS GROUP, INC.","AEROVIRONMENT, INC.",NANO-X IMAGING LTD,82.93,54.61,-68.43,23.04
40,pies,TESLA,TAKE-TWO INTERACTIVE,META,18.57,39.85,10.41,22.94
41,marcel_krol_polskich_gor,XTB,CD PROJECT,LPP,5.94,25,35.74,22.23
42,Kubisz,XTB,CD PROJECT,NVIDIA,5.94,25,34.88,21.94
43,Sidor,ISHARES MSCI ACWI UCITS ETF USD,INTEL,IRIDIUM,22.88,82.49,-40.13,21.75
44,michal1132,XTB,KRUK,LPP,5.94,23.41,35.74,21.7
45,giciunio,AMAZON,PROSHARES ULTRAPRO QQQ,TESLA,4.81,35.01,18.57,19.46
46,RedBaaL,NVIDIA,TESLA,AMAZON,34.88,18.57,4.81,19.42
47,Mystek_8,ELEKTROTIM,CYBER_FOLKS,MO-BRUK,16.93,39,1.5,19.14
48,link60521,RAINBOW TOURS,CD PROJECT,ZABKA GROUP,20.03,25,11.76,18.93
49,Kokojambo88,KRUK,XTB,CD PROJECT,23.41,5.94,25,18.12
50,Skagi,MURAPOL,KRUK,DĘBICA,22.33,23.41,6.19,17.31
51,zbychu dzik,11 BIT STUDIOS,DRAGO ENTERTAINMENT,ONE MORE LEVEL,-18.74,0.78,69.55,17.2
52,Lao,XTB,CD PROJECT,TESLA,5.94,25,18.57,16.5
53,Malfajter,VANGUARD FTSE ALL-WORLD UCITS ETF USD ACC,VANGUARD S&P 500 UCITS ETF USD ACC,ISHARES NASDAQ 100 UCITS ETF USD (ACC),7.27,18.02,20.82,15.37
54,Kexxrz,XTB,MONSTER,STELLANTIS,5.94,46.57,-7.24,15.09
55,Valentino,KLEPSYDRA,VOTUM,SEKO,-22.27,59.94,5.09,14.25
56,marek_msq,CD PROJECT,RIGETTI COMPUTING,PALO ALTO NETWORKS,25,10.75,1.91,12.55
57,mike_lemmi,KRUK,LENTEX,TESLA,23.41,-5.03,18.57,12.32
58,hajenleet_v2,WASTE MANAGEMENT,ASTARTA,ZABKA GROUP,10.76,5.07,11.76,9.2
59,qezebli,AMAZON,SUNTECH,INTEL,4.81,-66.83,82.49,6.82
60,iivanowski,ZABKA GROUP,ALLEGRO,BIG CHEESE STUDIO,11.76,9.84,-7.7,4.63
61,szybkistrzelec2,11 BIT STUDIOS,ALPHABET,TEXT,-18.74,65.78,-38.88,2.72
62,Noke_dajunky,ZESPÓŁ ELEKTROCIEPŁOWNI WROCŁAWSKICH KOGENERACJA,POZNAŃSKA KORPORACJA BUDOWLANA PEKABEX,FABRYKI SPRZĘTU I NARZĘDZI GÓRNICZYCH GRUPA KAPITAŁOWA FASING,19.32,-38.91,25.66,2.02
63,Nexon,XTB,COGNOR,KRUK,5.94,-24.04,23.41,1.77
