name,ticker,start_price
Ekipa Holding SA,EEE,1.26
Prymus SA,PRS,5.3
Tarczyński SA,TAR,118.0
QNA Technology SA,QNA,27.0
Bridge Solutions Hub SA,BSH,17.0
GreenX Metals Ltd.,GRX,2.03
Scanway SA,SCW,174.0
One More Level SA,OML,2.26
M Food SA,MFD,1.99
Zortrax SA,ZRX,0.08
Wierzyciel SA,WRL,0.57
Gamivo SA,GMV,15.1
Intermarum SA,IMR,0.0
Binary Helix SA,BHX,4.28
Danks SA,DNS,0.74
Tech Robotics SA,TCR,9.28
RRH Group SA,RRH,0.09
Minutor Energia SA,MTE,0.0
Saule Technologies SA,SLT,0.0
QuarticOn SA w upadłości,QON,0.0
NICKEL,NIKIEL,16681.88
