name,ticker,start_price,source
CRUDE OIL WTI,CL=F,57.42,YAHOO
PALLADIUM,PA=F,1629.2,YAHOO
URANIUM,SRUUF,19.47,YAHOO
COBALT,CB=F,149.38,YAHOO
GOLD,GC=F,4325.6,YAHOO
NATURAL GAS,NG=F,3.686,YAHOO
SILVER,SI=F,70.13,YAHOO
IRON ORE CFR CHINA,TIO=F,107.13,YAHOO
PLATINUM,PL=F,2034.5,YAHOO
HIGH GRADE COPPER,HG=F,5.63,YAHOO
NICKEL,P7.C,16500.57,STOOQ
COFFEE,KC=F,348.75,YAHOO
TIN REFINED,TINM.MI,81.68,YAHOO
COCOA,CC=F,6065.0,YAHOO
CORN,ZC=F,440.25,YAHOO
CLASS III MILK,DC=F,15.22,YAHOO
ALUMINIUM HIGH GRADE,ALI=F,2906.25,YAHOO
COTTON #2,CT=F,64.27,YAHOO
ZINC HIGH GRADE,ZN=F,112.44,YAHOO
LEAD PIG,LED=F,2348.5,YAHOO
WHEAT,ZW=F,507.0,YAHOO
