name,ticker,start_price,source
RENDER,RENDER-USD,1.2842,YAHOO
ADA,ADA-USD,0.33280699999999996,YAHOO
ETH,ETH-USD,2966.68,YAHOO
SOL,SOL-USD,124.49,YAHOO
BTC,BTC-USD,87501.95,YAHOO
ETC,ETC-USD,11.4613,YAHOO
XRP,XRP-USD,1.8399,YAHOO
LINK,LINK-USD,12.1884,YAHOO
LTC,LTC-USD,76.7794,YAHOO
DOGE,DOGE-USD,0.117294,YAHOO
XLM,XLM-USD,0.200669,YAHOO
HBAR,HBAR-USD,0.106213,YAHOO
KAS,KAS-USD,0.042912,YAHOO
ATOM,ATOM-USD,1.9269,YAHOO
BNB,BNB-USD,863.25,YAHOO
USDC,USDC-USD,0.999571,YAHOO
ZEC,ZEC-USD,512.62,YAHOO
XAUT,XAUT-USD,4323.84,YAHOO
FIL,FIL-USD,1.2958,YAHOO
USDT,USDT-USD,0.998398,YAHOO
WBTC,WBTC-USD,87380.81,YAHOO
SHIB,SHIB-USD,6.9036e-06,YAHOO
XMR,XMR-USD,433.29,YAHOO
1,1INCH-USD,0.14127699999999999,YAHOO
SUSDE,SUSDE-USD,1.2111,YAHOO
QNT,QNT-USD,69.3671,YAHOO
LEO,LEO-USD,9.6083,YAHOO
PYUSD,PYUSD-USD,0.9996879999999999,YAHOO
TRX,TRX-USD,0.28427,YAHOO
