name,ticker,start_price,source
XTB SA,XTB.WA,71.82,YAHOO
PCF Group SA,PCF.WA,3.93,YAHOO
Cyber_Folks SA,CBF.WA,206.0,YAHOO
Cognor Holding SA,COG.WA,5.12,YAHOO
Enter Air SA,ENT.WA,58.4,YAHOO
Synektik SA,SNT.WA,282.6,YAHOO
Creotech Instruments SA,CRI.WA,384.0,YAHOO
Orlen SA,PKN.WA,96.11,YAHOO
11 bit studios SA,11B.WA,144.0,YAHOO
Ambra SA,AMB.WA,17.0,YAHOO
Wielton SA,WLT.WA,5.97,YAHOO
VRG SA,VRG.WA,4.64,YAHOO
Benefit Systems SA,BFT.WA,3510.0,YAHOO
Pepco Group NV,PCO.WA,30.0,YAHOO
Diagnostyka SA,DIA.WA,171.0,YAHOO
CD Projekt SA,CDR.WA,241.0,YAHOO
Ekipa Holding SA,EEE,1.26,STOOQ
ASBISc Enterprises plc,ASB.WA,32.88,YAHOO
Prymus SA,PRS,5.3,STOOQ
Tarczyński SA,TAR,118.0,STOOQ
Mo-Bruk SA,MBR.WA,325.0,YAHOO
Amica SA,AMC.WA,62.5,YAHOO
QNA Technology SA,QNA,27.0,STOOQ
LPP SA,LPP.WA,20810.0,YAHOO
Auto Partner SA,APR.WA,16.6,YAHOO
Polimex Mostostal SA,PXM.WA,8.3,YAHOO
Neuca SA,NEU.WA,814.0,YAHOO
KGHM Polska Miedź SA,KGH.WA,280.8,YAHOO
Mennica Polska SA,MNC.WA,48.1,YAHOO
PGE SA,PGE.WA,8.8,YAHOO
Dino Polska SA,DNP.WA,41.35,YAHOO
Murapol SA,MUR.WA,39.5,YAHOO
Mirbud SA,MRB.WA,14.82,YAHOO
Bridge Solutions Hub SA,BSH,17.0,STOOQ
PKO BP SA,PKO.WA,85.16,YAHOO
GreenX Metals Ltd.,GRX,2.03,STOOQ
Celon Pharma SA,CLN.WA,20.35,YAHOO
Tauron PE SA,TPE.WA,8.64,YAHOO
Grenevia SA,GEA.WA,3.24,YAHOO
ZUE SA,ZUE.WA,12.45,YAHOO
Trakcja SA,TRK.WA,3.52,YAHOO
Scanway SA,SCW,174.0,STOOQ
Polwax SA,PWX.WA,1.2,YAHOO
AmRest Holdings SE,EAT.WA,13.4,YAHOO
Budimex SA,BDX.WA,637.8,YAHOO
Develia SA,DVL.WA,8.45,YAHOO
Dadelo SA,DAD.WA,57.6,YAHOO
Digital Network SA,DIG.WA,163.8,YAHOO
Ultimate Games SA,ULG.WA,11.95,YAHOO
Enea SA,ENA.WA,19.48,YAHOO
One More Level SA,OML,2.26,STOOQ
JSW  SA,JSW.WA,23.4,YAHOO
Toya SA,TOA.WA,9.6,YAHOO
M Food SA,MFD,1.99,STOOQ
mBank SA,MBK.WA,1061.5,YAHOO
XTPL SA,XTP.WA,72.8,YAHOO
Kruk SA,KRU.WA,493.5,YAHOO
XPlus SA,XPL.WA,2.55,YAHOO
Zortrax SA,ZRX,0.08,STOOQ
Airway Medix SA,AWM.WA,0.33,YAHOO
Wierzyciel SA,WRL,0.5700000000000001,STOOQ
Zabka Group SA (Żabka),ZAB.WA,22.9,YAHOO
Rainbow Tours SA,RBW.WA,151.4,YAHOO
Vigo Photonics SA,VGO.WA,450.0,YAHOO
PZU SA,PZU.WA,66.74,YAHOO
Santander Bank Polska SA,SPL.WA,545.4,YAHOO
Orange Polska SA,OPL.WA,10.19,YAHOO
Asseco Poland SA,ACP.WA,228.4,YAHOO
Cyfrowy Polsat SA,CPS.WA,12.2,YAHOO
PlayWay SA,PLW.WA,256.0,YAHOO
Grupa Pracuj SA,GPP.WA,46.3,YAHOO
Text SA,TXT.WA,39.9,YAHOO
DataWalk SA,DAT.WA,103.1,YAHOO
AB SA,ABE.WA,107.8,YAHOO
Mostostal Warszawa SA,MSW.WA,7.94,YAHOO
Molecure SA,MOC.WA,6.6,YAHOO
Skarbiec Holding SA,SKH.WA,34.0,YAHOO
Kogeneracja SA,KGN.WA,63.6,YAHOO
Passus SA,PAS.WA,94.0,YAHOO
Izostal SA,IZS.WA,3.23,YAHOO
Bioceltix SA,BCX.WA,77.6,YAHOO
Gamivo SA,GMV,15.1,STOOQ
Intermarum SA,IMR,0.0,STOOQ
Binary Helix SA,BHX,4.28,STOOQ
Danks SA,DNS,0.74,STOOQ
Tech Robotics SA,TCR,9.28,STOOQ
RRH Group SA,RRH,0.09,STOOQ
Minutor Energia SA,MTE,0.0,STOOQ
Saule Technologies SA,SLT,0.0,STOOQ
QuarticOn SA w upadłości w upadłości,QON,0.0,STOOQ
Energa SA,ENG.WA,20.95,YAHOO
Lubawa SA,LBW.WA,8.02,YAHOO
