name,ticker,start_price,source
NIO Inc.,NIO,5.1,YAHOO
Bayer AG NA,BAYN.DE,37.01,YAHOO
ASML Holding N.V.,ASML,1069.86,YAHOO
Avio S.p.A.,AVIO.MI,29.35,YAHOO
Wolters Kluwer N.V.,WKL.AS,88.34,YAHOO
Novo Nordisk,NVO,50.88,YAHOO
Brookfield Renewable Partners ,BEP,26.97,YAHOO
InPost,INPST.AS,10.47,YAHOO
"MercadoLibre, Inc. ",MELI,2014.26,YAHOO
Samsung Electronics Co,005930.KS,119900.0,YAHOO
Paladin Energy Ltd,PDN.AX,9.59,YAHOO
BYD,1211.HK,95.1,YAHOO
Holcim Ltd,HLBN.HM,83.44,YAHOO
Taiwan Semiconductor Manufacturing,TSM,303.89,YAHOO
STRABAG SE,XD4.HA,78.6,YAHOO
Allianz SE,ALV,118.7,YAHOO
Siemens,SIE.DE,239.15,YAHOO
"German American Bancorp, Inc. (GABC)",GABC,39.18,YAHOO
Semiconductor Manufacturing International Corporation,0981.HK,71.35,YAHOO
SK Hynix Inc,000660.KS,651000.0,YAHOO
Heidelberg Materials AG,HLBZF,273.19,YAHOO
"Shopify, Inc. ",SHOP,160.97,YAHOO
Sea Limited,SE,127.57,YAHOO
Tokyo Electron Limited,TOELF,223.51,YAHOO
"Capcom Co., Ltd.",9697.T,3651.0,YAHOO
Tencent Holdings Ltd,0700.HK,599.0,YAHOO
"WuXi AppTec Co., Ltd.",2359.HK,99.0,YAHOO
Evolution AB,EVO.ST,629.8,YAHOO
Emmerson PLC,EML.L,2.1,YAHOO
Nu Holdings Ltd.,NU,16.74,YAHOO
Phison Electronics Corp.,8299.TWO,1450.0,YAHOO
StoneCo,STNE,14.79,YAHOO
Kinross Gold Corporation,KGC,28.16,YAHOO
National Atomic Company Kazatomprom JSC,KAP.IL,55.8,YAHOO
Rheinmetall AG,RHM.DE,1561.0,YAHOO
Nebius Group N.V.,NBIS,83.71,YAHOO
Legrand SA,LR.PA,127.25,YAHOO
Alibaba Group Holding Limited,BABA,146.58,YAHOO
Bitcoin USD,BTC-USD,87508.83,YAHOO
First Quantum Minerals Ltd.,FM.TO,36.8,YAHOO
Anheuser-Busch InBev SA/NV,ABI.BR,54.9,YAHOO
Reliance Industries Limited,RELIANCE.NS,1570.4,YAHOO
Sony Group Corporation,SONY,25.6,YAHOO
Korea Electric Power Corp,015760.KS,47200.0,YAHOO
Tata Consultancy Services Limited,TCS.NS,3206.2,YAHOO
"Baidu, Inc.",BIDU,130.66,YAHOO
PSI Software SE,PSAN.DE,45.0,YAHOO
Sanlam Limited,SLM.JO,9849.0,YAHOO
ASUSTeK Computer Inc.,2357.TW,548.0,YAHOO
"Nintendo Co., Ltd.",NTDOY,16.86,YAHOO
Deutsche Bank Aktiengesellschaft,DBK.DE,33.11,YAHOO
Globex Mining Enterprises Inc.,GMX.TO,1.7,YAHOO
adidas AG,ADS.DE,169.05,YAHOO
Ubisoft Entertainment SA,UBI.PA,6.44,YAHOO
"Banco Comercial Português, S.A. ",BCP.LS,0.9,YAHOO
Kalmar Oyj,XK2.F,39.18,YAHOO
NXP Semiconductors N.V.,NXPI,217.06,YAHOO
LVMH Moët Hennessy,MC.PA,645.0,YAHOO
Xiaomi Corporation,1810.HK,39.2,YAHOO
Yangzijiang Shipbuilding (Holdings) Ltd,BS6.SI,3.48,YAHOO
"Sumitomo Dainippon Pharma Co., Ltd.",4506.T,2318.0,YAHOO
Petróleo Brasileiro S.A.,PBR,11.85,YAHOO
Wise plc,WISE,38.97,YAHOO
Kering SA,KER.PA,301.0,YAHOO
Zalando SE,ZAL.DE,25.34,YAHOO
China ITS Holdings Co Ltd,1900.HK,0.25,YAHOO
Nanoform Finland Oyj,4YL.F,1.17,YAHOO
Fujitsu Limited,6702.T,4329.0,YAHOO
Grab Holdings Limited,GRAB,4.99,YAHOO
Saab AB ,SAABY,28.97,YAHOO
Ferrari N.V.,RACE.MI,318.7,YAHOO
Enlight Renewable Energy Ltd,ENLT,45.46,YAHOO
WPP plc,WPP.L,337.5,YAHOO
Hesai Group,2525.HK,178.2,YAHOO
WH Smith PLC,SMWH.L,639.0,YAHOO
Toyota Motor Corporation,TM,214.06,YAHOO
"Chery Automobile Co., Ltd.",9PB.F,3.34,YAHOO
Wizz Air Holdings Plc,WIZZ.L,1276.0,YAHOO
Ocado Group,OCDO.L,236.0,YAHOO
Ferrari N.V.,RACE,369.56,YAHOO
Japan Tobacco Inc. ,JAPAF,36.22,YAHOO
"Ping An Insurance (Group) Company of China, Ltd.",2318.HK,65.3,YAHOO
Saudi Aramco Base Oil Company - Luberef,2223.SR,96.15,YAHOO
Randstad N.V.,RAND.AS,32.37,YAHOO
Airbus SE,AIR.PA,198.4,YAHOO
"Micronics Japan Co., Ltd.",6871.T,7050.0,YAHOO
Montana Aerospace AG,AEROZ.XC,28.3,YAHOO
KGX.F,CVX,152.41,YAHOO
FUJIFILM Holdings Corporation,4901.T,3344.0,YAHOO
Fanuc Corporation ,6954.T,6084.0,YAHOO
Mitsubishi UFJ Financial Group,8306.T,2493.0,YAHOO
AstraZeneca PLC,AZN.L,13790.0,YAHOO
"Seven & i Holdings Co., Ltd.",SVNDY,14.41,YAHOO
China Telecom Corporation Limited,0728.HK,5.4,YAHOO
